Game Code,Attendance,Duration
0157011020231028,71343,200
0768012820231028,44136,199
0694033420231028,61665,229
0529073220231028,53586,175
0077070320231028,101670,195
0746041520231028,58503,185
0147049020231028,56919,193
0306053920231028,107209,200
0754002820231028,47284,209
0559046320231028,86709,216
0392050920231028,19286,201
0736043320231028,62914,176
0140052120231028,53855,204
0193036720231028,52319,187
0257023520231028,76251,204
0400072520231028,29625,197
0698070020231102,51185,205
0749019320231102,18277,189
0646071620231102,28212,223
0067068820231103,42523,199
0107052920231104,54046,257
0528015720231104,52725,203
0419047220231104,15727,228
0513014720231104,81500,198
0518058720231104,53703,217
0742036720231104,49945,165
0539039220231104,51802,212
0415049020231104,56919,194
0149052320231104,17982,221
0674075420231104,24385,197
0498066420231104,20193,184
0366035520231104,21647,206
0706049720231104,17354,201
0434025720231104,92746,192
0663057420231104,21632,224
0388002720231104,34057,247
0077076820231104,50266,207
0718019620231104,33765,185
0312050920231104,38000,185
0327070320231104,102846,231
0559041820231104,110245,200
0031023520231104,89782,248
0315064820231104,75348,212
0229000920231104,20676,216
0463041620231104,63134,204
0725072120231104,52401,186
0458071920231104,20152,231
0796030620231104,45466,205
0037073620231104,28500,186
0756065720231104,72243,218
0288005120231104,41181,210
0726069020231104,13049,184
0365000820231104,100077,193
0772070420231104,11111,175
0128014020231104,38193,192
0317025420231104,15320,188
0651040420231104,30223,221
0028073220231104,52104,205
0522052120231104,54105,207
0164069420231104,101915,204
0255074620231104,42606,193
0334043020231104,52329,192
0301042820231104,42906,188
0234054520231104,57557,213
0253067020231104,18204,199
0115045720231104,47667,193
0328031120231104,61500,195
0671003020231104,15881,201
0697043320231104,65680,220
0110002920231104,44956,194
0746036720231109,44628,212
0664067120231109,15137,220
0497066320231110,22043,200
0235036520231111,102321,218
0509079620231111,76124,186
0523035520231111,21481,190
0415023420231111,79560,217
0392046320231111,86830,192
0703069820231111,50812,200
0428055920231111,59049,210
0700032820231111,47233,193
0624036620231111,15080,202
0255014720231111,81426,202
0670014920231111,15832,203
0754010720231111,38155,220
0028011020231111,56436,194
0657052920231111,59957,236
0164031720231111,25240,199
0009072620231111,29078,190
0545068820231111,17101,184
0231041920231111,11111,179
0521012820231111,44046,193
0285072520231111,30602,190
0742006720231111,33665,185
0196022920231111,17532,200
0472077220231111,16319,191
0418053920231111,110856,192
0051032720231111,51790,207
0253038820231111,19175,222
0716049820231111,7683,195
0694043420231111,62621,195
0587031220231111,69250,184
0433025720231111,92746,191
0732075620231111,70976,211
0027025420231111,14260,191
0690065120231111,30938,221
0736064820231111,75682,179
0416051820231111,105137,188
0008033420231111,61936,198
0768052220231111,83525,215
0674052820231111,37107,193
0430069720231111,103266,196
0490074920231111,29591,182
0029015720231111,52788,212
0719071820231111,20126,201
0404045820231111,8895,223
0311007720231111,60754,190
0574070620231111,28245,203
0140028820231111,34312,185
0030064620231111,15242,182
0306030120231111,53157,235
0037003120231111,72033,178
0193045720231111,50500,226
0067054520231116,41842,197
0157075420231117,27869,212
0651070620231117,22096,222
0027031720231118,25838,227
0196072620231118,28708,187
0497071920231118,16520,200
